label,message
ham,Hello how are you today?
ham,Please send me the college assignment when you can.
ham,Are you coming to college tomorrow?
ham,Your class has been moved to room 204.
ham,Can you call me after your lecture?
ham,The project meeting is scheduled for Monday.
ham,Please remember to submit your form before Friday.
ham,Thank you for your help with the project.
ham,Your package will arrive tomorrow afternoon.
ham,Let's meet at the library at 4 pm.
spam,Congratulations! You won a free prize. Click here to claim your reward.
spam,URGENT! You have won a cash bonus. Claim your money now.
spam,You are the lucky winner of our lottery. Send your details to receive cash.
spam,Limited time offer! Get a free gift by clicking this link now.
spam,Congratulations you have won a prize. Claim your reward today.
spam,Win free cash now! Click here to collect your bonus.
spam,Urgent offer! You have been selected for a free reward.
spam,You won the lottery! Claim your cash prize immediately.
spam,FREE BONUS waiting for you. Click here now.
spam,You are a winner. Congratulations! Claim your free money.
